ID,EnemyName,RequiredAttack,RewardMoney,PenaltyMoney
1,Наглый мальчишка-вор,2,+35 монет (карман неудачливого воришки),−25 монет
2,Стая шакалов,3,+1 к случайному товару в трюме (шакалы разбежались, оставив добычу),−30 монет на лечение испуганного животного
3,Пьяный дебошир,4,+40 монет (местные извиняются монетой за беспокойство),−1 товар из трюма (разбитый в потасовке)
4,Мелкие вымогатели,5,+45 монет,−35 монет
5,Одинокий разбойник,6,+55 монет,−1 случайный товар из трюма
6,Голодные псы каравана,7,+10% к вместимости трюма до конца маршрута,−50 монет (потрёпанные тюки)
7,Мелкая банда с тракта,8,+70 монет,−55 монет
8,Контрабандист-беглец,9,+1 редкий товар (из его же незаконного груза),−1 случайный товар из трюма
9,Наёмники не по адресу,10,+90 монет,−70 монет и −10% к характеристике случайного юнита до следующего города
10,Пустынные мародёры,11,+100 монет,−80 монет
11,Отряд дезертиров,12,+2 случайных товара из трюма (трофеи дезертиров),−1 случайный товар и −60 монет
12,Горные разбойники,13,+130 монет,−105 монет
13,Речные пираты,14,+150 монет и +1 редкий товар,−1 случайный товар из трюма и −120 монет
14,Культисты-фанатики,15,+2 редких товара (трофеи из их лагеря),−15% к характеристике случайного юнита на два города
15,Наёмная гвардия конкурента,16,+175 монет,−145 монет
16,Вожак песчаных волков,17,+195 монет и +1 редкий товар,−1 случайный товар и −160 монет
17,Отряд Печати Султана,18,+215 монет и +15% к цене продажи в ближайшем городе (репутация того что вы дали отпор),−190 монет
18,Заклинатель песчаной бури,19,+2 редких товара и +230 монет,−1 случайный товар из трюма и −20% к характеристике случайного юнита на два города
19,Осколок старого мира,20,+250 монет и малая подсказка об амулете, если ещё не найдена,Один случайный наёмный юнит окончательно покидает команду
20,Тень Затерянного города,20,+3 редких товара и +250 монет,−250 монет и −1 случайный товар из трюма
