City,ProductName,Weight,Stock,BuyPrice,SellPrice
1Аль-Марказия,Алмазы,1,30,180,120
1Аль-Марказия,Золотые финики,1,30,20,15
1Аль-Марказия,Каменная соль,1,30,28,21
1Аль-Марказия,Верблюжья шерсть,1,30,36,27
1Аль-Марказия,Амулеты попутного самума,1,30,94,72
1Аль-Марказия,Прах тлеющих ифритов,1,30,163,125
1Аль-Марказия,Медная и оловянная руда,1,30,26,20
1Аль-Марказия,Серебро (слитки),1,30,68,52
1Аль-Марказия,Вечный лёд горы Каф,1,30,81,62
1Аль-Марказия,Джамбия Падающей Звезды,1,30,107,82
1Аль-Марказия,Драгоценные камни (изумруды/рубины),1,30,169,130
1Аль-Марказия,Пшеница (зерно),1,30,16,12
1Аль-Марказия,Глазурованная керамика,1,30,64,49
1Аль-Марказия,Индиго (синий краситель),1,30,42,32
1Аль-Марказия,Лунный лотос,1,30,201,154
1Аль-Марказия,Папирус,1,30,30,23
1Аль-Марказия,Заморские пряности,1,30,49,37
1Аль-Марказия,Морской жемчуг,1,30,95,73
2Оазис,Алмазы,1,30,344,264
2Оазис,Золотые финики,1,30,10,6
2Оазис,Каменная соль,1,30,21,16
2Оазис,Верблюжья шерсть,1,30,28,21
2Оазис,Амулеты попутного самума,1,30,76,58
2Оазис,Прах тлеющих ифритов,1,30,128,98
2Оазис,Медная и оловянная руда,1,30,36,27
2Оазис,Серебро (слитки),1,30,85,65
2Оазис,Вечный лёд горы Каф,1,30,101,77
2Оазис,Джамбия Падающей Звезды,1,30,130,100
2Оазис,Драгоценные камни (изумруды/рубины),1,30,198,152
2Оазис,Пшеница (зерно),1,30,20,15
2Оазис,Глазурованная керамика,1,30,65,50
2Оазис,Индиго (синий краситель),1,30,52,40
2Оазис,Лунный лотос,1,30,233,179
2Оазис,Папирус,1,30,38,29
2Оазис,Заморские пряности,1,30,63,48
2Оазис,Морской жемчуг,1,30,117,90
3Кочевье,Алмазы,1,30,448,344
3Кочевье,Золотые финики,1,30,20,15
3Кочевье,Каменная соль,1,30,28,21
3Кочевье,Верблюжья шерсть,1,30,14,9
3Кочевье,Амулеты попутного самума,1,30,58,44
3Кочевье,Прах тлеющих ифритов,1,30,98,75
3Кочевье,Медная и оловянная руда,1,30,43,33
3Кочевье,Серебро (слитки),1,30,102,78
3Кочевье,Вечный лёд горы Каф,1,30,115,88
3Кочевье,Джамбия Падающей Звезды,1,30,154,118
3Кочевье,Драгоценные камни (изумруды/рубины),1,30,225,173
3Кочевье,Пшеница (зерно),1,30,25,19
3Кочевье,Глазурованная керамика,1,30,86,66
3Кочевье,Индиго (синий краситель),1,30,63,48
3Кочевье,Лунный лотос,1,30,266,204
3Кочевье,Папирус,1,30,46,35
3Кочевье,Заморские пряности,1,30,77,59
3Кочевье,Морской жемчуг,1,30,140,107
4Соляная впадина,Алмазы,1,30,568,436
4Соляная впадина,Золотые финики,1,30,26,20
4Соляная впадина,Каменная соль,1,30,36,27
4Соляная впадина,Верблюжья шерсть,1,30,28,21
4Соляная впадина,Амулеты попутного самума,1,30,78,60
4Соляная впадина,Прах тлеющих ифритов,1,30,50,35
4Соляная впадина,Медная и оловянная руда,1,30,54,41
4Соляная впадина,Серебро (слитки),1,30,121,93
4Соляная впадина,Вечный лёд горы Каф,1,30,145,111
4Соляная впадина,Джамбия Падающей Звезды,1,30,180,138
4Соляная впадина,Драгоценные камни (изумруды/рубины),1,30,257,197
4Соляная впадина,Пшеница (зерно),1,30,30,23
4Соляная впадина,Глазурованная керамика,1,30,99,76
4Соляная впадина,Индиго (синий краситель),1,30,75,57
4Соляная впадина,Лунный лотос,1,30,180,138
4Соляная впадина,Папирус,1,30,54,41
4Соляная впадина,Заморские пряности,1,30,94,72
4Соляная впадина,Морской жемчуг,1,30,164,126
5Ветреные пески,Алмазы,1,30,412,316
5Ветреные пески,Золотые финики,1,30,17,13
5Ветреные пески,Каменная соль,1,30,12,8
5Ветреные пески,Верблюжья шерсть,1,30,33,25
5Ветреные пески,Амулеты попутного самума,1,30,89,68
5Ветреные пески,Прах тлеющих ифритов,1,30,147,113
5Ветреные пески,Медная и оловянная руда,1,30,41,31
5Ветреные пески,Серебро (слитки),1,30,97,74
5Ветреные пески,Вечный лёд горы Каф,1,30,115,88
5Ветреные пески,Джамбия Падающей Звезды,1,30,146,112
5Ветреные пески,Драгоценные камни (изумруды/рубины),1,30,216,166
5Ветреные пески,Пшеница (зерно),1,30,26,20
5Ветреные пески,Глазурованная керамика,1,30,82,63
5Ветреные пески,Индиго (синий краситель),1,30,59,45
5Ветреные пески,Лунный лотос,1,30,255,196
5Ветреные пески,Папирус,1,30,43,33
5Ветреные пески,Заморские пряности,1,30,73,56
5Соляная впадина,Морской жемчуг,1,30,132,101
6Затерянный город,Алмазы,1,30,532,408
6Затерянный город,Золотые финики,1,30,24,18
6Затерянный город,Каменная соль,1,30,34,26
6Затерянный город,Верблюжья шерсть,1,30,25,19
6Затерянный город,Амулеты попутного самума,1,30,32,22
6Затерянный город,Прах тлеющих ифритов,1,30,121,93
6Затерянный город,Медная и оловянная руда,1,30,51,39
6Затерянный город,Серебро (слитки),1,30,116,89
6Затерянный город,Вечный лёд горы Каф,1,30,137,105
6Затерянный город,Джамбия Падающей Звезды,1,30,130,100
6Затерянный город,Драгоценные камни (изумруды/рубины),1,30,247,190
6Затерянный город,Пшеница (зерно),1,30,29,22
6Затерянный город,Глазурованная керамика,1,30,95,73
6Затерянный город,Индиго (синий краситель),1,30,71,54
6Затерянный город,Лунный лотос,1,30,290,223
6Затерянный город,Папирус,1,30,51,39
6Затерянный город,Заморские пряности,1,30,89,68
6Затерянный город,Морской жемчуг,1,30,156,120
7Торговый порт,Алмазы,1,30,344,264
7Торговый порт,Золотые финики,1,30,25,19
7Торговый порт,Каменная соль,1,30,36,27
7Торговый порт,Верблюжья шерсть,1,30,43,33
7Торговый порт,Амулеты попутного самума,1,30,114,87
7Торговый порт,Прах тлеющих ифритов,1,30,186,143
7Торговый порт,Медная и оловянная руда,1,30,36,27
7Торговый порт,Серебро (слитки),1,30,85,65
7Торговый порт,Вечный лёд горы Каф,1,30,101,77
7Торговый порт,Джамбия Падающей Звезды,1,30,130,100
7Торговый порт,Драгоценные камни (изумруды/рубины),1,30,198,152
7Торговый порт,Пшеница (зерно),1,30,20,15
7Торговый порт,Глазурованная керамика,1,30,75,57
7Торговый порт,Индиго (синий краситель),1,30,52,40
7Торговый порт,Лунный лотос,1,30,233,179
7Торговый порт,Папирус,1,30,43,33
7Торговый порт,Заморские пряности,1,30,25,17
7Торговый порт,Морской жемчуг,1,30,73,56
8Коралловый риф,Алмазы,1,30,448,344
8Коралловый риф,Золотые финики,1,30,32,24
8Коралловый риф,Каменная соль,1,30,42,32
8Коралловый риф,Верблюжья шерсть,1,30,52,40
8Коралловый риф,Амулеты попутного самума,1,30,132,101
8Коралловый риф,Прах тлеющих ифритов,1,30,215,165
8Коралловый риф,Медная и оловянная руда,1,30,43,33
8Коралловый риф,Серебро (слитки),1,30,102,78
8Коралловый риф,Вечный лёд горы Каф,1,30,121,93
8Коралловый риф,Джамбия Падающей Звезды,1,30,154,118
8Коралловый риф,Драгоценные камни (изумруды/рубины),1,30,156,120
