City	ProductName	Weight	Stock	BuyPrice	SellPrice
1 Мадинат аль-Ахлам	Звездный песок	1	100	7	4
1 Мадинат аль-Ахлам	Пыль миражей	1	100	26	16
1 Мадинат аль-Ахлам	Янтарь времени	1	100	33	20
1 Мадинат аль-Ахлам	Кристаллы жажды	1	100	59	35
1 Мадинат аль-Ахлам	Розы пустыни	1	100	79	47
1 Мадинат аль-Ахлам	Лунное серебро	1	100	20	12
1 Мадинат аль-Ахлам	Металл снов	1	100	33	20
1 Мадинат аль-Ахлам	Огненные рубины	1	100	66	39
1 Мадинат аль-Ахлам	Эхо-камни	1	100	72	43
1 Мадинат аль-Ахлам	Самоцветы мороза	1	100	131	79
1 Мадинат аль-Ахлам	Ткани из тумана	1	100	13	8
1 Мадинат аль-Ахлам	Жемчуг желаний	1	100	39	24
1 Мадинат аль-Ахлам	Слезы русалок	1	100	53	32
1 Мадинат аль-Ахлам	Чернила забвения	1	100	92	55
1 Мадинат аль-Ахлам	Вода памяти	1	100	225	135
1 Мадинат аль-Ахлам	Эликсир грез	1	100	313	188
1 Мадинат аль-Ахлам	Соль бурь	1	100	506	304
1 Мадинат аль-Ахлам	Кораллы шепотов	1	100	125	75
3 Нур аль-Наджм	Звездный песок	1	100	8	5
3 Нур аль-Наджм	Пыль миражей	1	100	32	19
3 Нур аль-Наджм	Янтарь времени	1	100	38	23
3 Нур аль-Наджм	Кристаллы жажды	1	100	70	42
3 Нур аль-Наджм	Розы пустыни	1	100	94	56
3 Нур аль-Наджм	Лунное серебро	1	100	16	10
3 Нур аль-Наджм	Металл снов	1	100	25	15
3 Нур аль-Наджм	Огненные рубины	1	100	45	27
3 Нур аль-Наджм	Эхо-камни	1	100	60	36
3 Нур аль-Наджм	Самоцветы мороза	1	100	99	59
3 Нур аль-Наджм	Ткани из тумана	1	100	14	9
3 Нур аль-Наджм	Жемчуг желаний	1	100	79	47
3 Нур аль-Наджм	Слезы русалок	1	100	58	35
3 Нур аль-Наджм	Чернила забвения	1	100	99	59
3 Нур аль-Наджм	Вода памяти	1	100	228	137
3 Нур аль-Наджм	Эликсир грез	1	100	313	188
3 Нур аль-Наджм	Соль бурь	1	100	500	300
3 Нур аль-Наджм	Кораллы шепотов	1	100	125	75
4 Кахф аль-Замман	Звездный песок	1	100	7	4
4 Кахф аль-Замман	Пыль миражей	1	100	31	18
4 Кахф аль-Замман	Янтарь времени	1	100	37	22
4 Кахф аль-Замман	Кристаллы жажды	1	100	68	41
4 Кахф аль-Замман	Розы пустыни	1	100	91	55
4 Кахф аль-Замман	Лунное серебро	1	100	16	10
4 Кахф аль-Замман	Металл снов	1	100	28	17
4 Кахф аль-Замман	Огненные рубины	1	100	50	30
4 Кахф аль-Замман	Эхо-камни	1	100	56	34
4 Кахф аль-Замман	Самоцветы мороза	1	100	90	54
4 Кахф аль-Замман	Ткани из тумана	1	100	15	9
4 Кахф аль-Замман	Жемчуг желаний	1	100	83	50
4 Кахф аль-Замман	Слезы русалок	1	100	61	37
4 Кахф аль-Замман	Чернила забвения	1	100	100	60
4 Кахф аль-Замман	Вода памяти	1	100	229	137
4 Кахф аль-Замман	Эликсир грез	1	100	313	188
4 Кахф аль-Замман	Соль бурь	1	100	500	300
4 Кахф аль-Замман	Кораллы шепотов	1	100	125	75
2 Вади аль-Сараб	Звездный песок	1	100	8	5
2 Вади аль-Сараб	Пыль миражей	1	100	30	18
2 Вади аль-Сараб	Янтарь времени	1	100	36	21
2 Вади аль-Сараб	Кристаллы жажды	1	100	66	40
2 Вади аль-Сараб	Розы пустыни	1	100	88	53
2 Вади аль-Сараб	Лунное серебро	1	100	15	9
2 Вади аль-Сараб	Металл снов	1	100	23	14
2 Вади аль-Сараб	Огненные рубины	1	100	54	32
2 Вади аль-Сараб	Эхо-камни	1	100	58	35
2 Вади аль-Сараб	Самоцветы мороза	1	100	109	65
2 Вади аль-Сараб	Ткани из тумана	1	100	15	9
2 Вади аль-Сараб	Жемчуг желаний	1	100	78	47
2 Вади аль-Сараб	Слезы русалок	1	100	59	35
2 Вади аль-Сараб	Чернила забвения	1	100	98	59
2 Вади аль-Сараб	Вода памяти	1	100	226	136
2 Вади аль-Сараб	Эликсир грез	1	100	313	188
2 Вади аль-Сараб	Соль бурь	1	100	500	300
2 Вади аль-Сараб	Кораллы шепотов	1	100	125	75
6 Бустан аль-Сахра	Звездный песок	1	100	7	4
6 Бустан аль-Сахра	Пыль миражей	1	100	29	17
6 Бустан аль-Сахра	Янтарь времени	1	100	35	21
6 Бустан аль-Сахра	Кристаллы жажды	1	100	63	38
6 Бустан аль-Сахра	Розы пустыни	1	100	93	56
6 Бустан аль-Сахра	Лунное серебро	1	100	14	8
6 Бустан аль-Сахра	Металл снов	1	100	26	16
6 Бустан аль-Сахра	Огненные рубины	1	100	55	33
6 Бустан аль-Сахра	Эхо-камни	1	100	59	35
6 Бустан аль-Сахра	Самоцветы мороза	1	100	106	64
6 Бустан аль-Сахра	Ткани из тумана	1	100	14	8
6 Бустан аль-Сахра	Жемчуг желаний	1	100	76	46
6 Бустан аль-Сахра	Слезы русалок	1	100	60	36
6 Бустан аль-Сахра	Чернила забвения	1	100	109	65
6 Бустан аль-Сахра	Вода памяти	1	100	228	137
6 Бустан аль-Сахра	Эликсир грез	1	100	313	188
6 Бустан аль-Сахра	Соль бурь	1	100	500	300
6 Бустан аль-Сахра	Кораллы шепотов	1	100	125	75
5 Айн аль-Аташ	Звездный песок	1	100	8	5
5 Айн аль-Аташ	Пыль миражей	1	100	28	17
5 Айн аль-Аташ	Янтарь времени	1	100	37	22
5 Айн аль-Аташ	Кристаллы жажды	1	100	64	38
5 Айн аль-Аташ	Розы пустыни	1	100	85	51
5 Айн аль-Аташ	Лунное серебро	1	100	14	8
5 Айн аль-Аташ	Металл снов	1	100	26	15
5 Айн аль-Аташ	Огненные рубины	1	100	49	29
5 Айн аль-Аташ	Эхо-камни	1	100	50	30
5 Айн аль-Аташ	Самоцветы мороза	1	100	111	67
5 Айн аль-Аташ	Ткани из тумана	1	100	16	9
5 Айн аль-Аташ	Жемчуг желаний	1	100	81	49
5 Айн аль-Аташ	Слезы русалок	1	100	56	34
5 Айн аль-Аташ	Чернила забвения	1	100	106	64
5 Айн аль-Аташ	Вода памяти	1	100	229	137
5 Айн аль-Аташ	Эликсир грез	1	100	313	188
5 Айн аль-Аташ	Соль бурь	1	100	500	300
5 Айн аль-Аташ	Кораллы шепотов	1	100	125	75
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
					
